id,target,source
1,na,na
2,na,na
3,na,na
4,na,na
5,na,na
6,na,na
7,na,na
8,na,na
9,na,na
10,na,na
11,na,na
12,na,na
13,na,na
14,na,na
15,na,na
16,na,na
17,na,na
18,na,na
19,na,na
20,na,na
21,na,na
22,na,na
23,na,na
24,na,na
25,na,na
26,na,na
27,na,na
28,na,na
29,na,na
30,na,na
31,na,na
32,na,na
33,na,na
34,na,na
35,na,na
36,na,na
37,na,na
38,na,na
39,na,na
40,na,na
41,na,na
42,2,1
43,3,2
44,4,3
45,5,3
46,6,5
47,7,6
48,8,7
49,9,4
50,8,9
51,10,9
52,11,8
53,12,10
54,13,11
55,13,12
56,15,13
57,14,13
58,22,14
59,17,16
60,18,17
61,19,18
62,20,19
63,21,20
64,22,17
65,23,22
66,24,23
67,25,24
68,26,25
69,27,26
70,28,27
71,29,28
72,30,25
73,31,30
74,32,14
75,33,32
76,34,33
77,38,34
78,39,38
79,40,39
80,41,38
81,35,33
82,36,33
83,37,33
